company_rank,company_id,company_name,financial_health_score,financial_rating,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe_percentage,roce_percentage,net_profit_margin_percentage,debt_to_asset_ratio
71,PFC,Power Finance Corporation Ltd,37.75,AVERAGE,,,,19.49,9.96,28.77985165865189,0.825157858579377
72,NAUKRI,Info Edge (India) Ltd,37.43,AVERAGE,,,,2.44,3.65,20.698722764838468,0.005101024190013151
73,SHRIRAMFIN,Shriram Finance Ltd,36.3,AVERAGE,,,,15.9,11.3,23.715633152719246,0.7554700876449996
74,JSWENERGY,JSW Energy Ltd,35.27,AVERAGE,,,,8.4,8.59,17.41415557112824,0.4751586274872174
75,TATAPOWER,Tata Power Company Ltd,35.27,AVERAGE,,,,11.3,11.1,6.935059616626502,0.4018052780265968
76,ADANIENT,Adani Enterprises Ltd,34.98,WEAK,,,,13.64,11.6,5.948529483633235,0.4424706218916421
77,JSWSTEEL,JSW Steel Ltd,34.54,WEAK,,,,11.66,13.36,1.9451002501849959,0.4085380498181569
78,AXISBANK,Axis Bank Ltd,33.81,WEAK,,,,18.4,7.06,21.86824024730853,0.8531608001111814
79,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,33.31,WEAK,,,,20.2,10.4,17.118478357479336,0.8680810134930885
80,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",32.78,WEAK,,,,13.81,17.2,5.979774292833065,0.3770718232044199
81,GODREJCP,Godrej Consumer Products Ltd,32.76,WEAK,,,,6.77,26.49,-3.2009609949123803,0.20164348925410872
82,BAJAJFINSV,Bajaj Finserv Ltd,31.38,WEAK,,,,11.72,21.14,13.083801271948234,0.5300692786866158
83,TATACONSUM,Tata Consumer Products Ltd,30.74,WEAK,,,,8.32,10.6,7.1792354421059095,0.0954149176622538
84,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,28.48,WEAK,,,,8.07,8.75,1.2556076934976539,0.0
85,INDUSINDBK,IndusInd Bank Ltd,27.66,WEAK,,,,15.2,7.93,16.57415721165619,0.8397254022352336
86,TATASTEEL,Tata Steel Ltd,26.38,WEAK,,,,6.55,7.02,1.1433768302173637,0.3539084392948323
87,BANKBARODA,Bank of Baroda,26.25,WEAK,,,,16.7,6.33,16.226317824461916,0.8785248749830037
88,ADANIENSOL,Adani Energy Solutions Ltd,22.76,WEAK,,,,8.59,9.0,2.665278971899181,0.5644724846976428
89,TVSMOTOR,TVS Motor Company Ltd,22.65,WEAK,,,,,,4.882712307046589,0.3252569750367107
90,GRASIM,Grasim Industries Ltd,18.65,WEAK,,,,6.9,9.3,6.339887394614779,0.3526760827197438
91,PNB,Punjab National Bank,16.63,WEAK,,,,8.7,1.63,12.516576821728123,0.7602078180486659
92,BHEL,Bharat Heavy Electricals Limited,16.26,WEAK,,,,1.05,3.28,1.7226028722951263,0.14771899729742852
