company_id,company_name,roce_percentage,roe_percentage,latest_financial_year,latest_sales,latest_operating_profit,latest_net_profit,latest_eps,operating_margin_percentage,net_profit_margin_percentage,latest_reserves,latest_borrowings,latest_total_liabilities,latest_total_assets,debt_to_asset_ratio,latest_operating_cash_flow,latest_net_cash_flow,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,sales_growth_score,profit_growth_score,stock_cagr_score,roe_score,roce_score,profit_margin_score,cash_flow_score,debt_score,financial_health_score,financial_rating,company_rank
ATGL,Adani Total Gas Ltd,21.2,20.5,,4826,1153.0,668,6.0,23.891421467053462,13.841690841276419,3801.0,1457.0,6842.0,6842.0,0.21294942999123062,,,,,,,,,,70.0,60.43956043956044,51.08695652173913,,47.25274725274725,57.19,GOOD,34
ADANIGREEN,Adani Green Energy Ltd,96.5,14.7,,10782,8100.0,1928,9.0,75.12520868113522,17.881654609534408,8992.0,67430.0,98258.0,98258.0,0.6862545543365426,7713.0,606.0,,,,,,,,41.11111111111111,98.9010989010989,68.47826086956522,60.43956043956044,14.285714285714292,56.64,GOOD,35
ICICIBANK,ICICI Bank Ltd,7.6,18.8,,180551,125722.0,52416,70.0,69.63240303293806,29.031132477804057,254739.0,1651008.0,2364063.0,2364063.0,0.6983773275077695,157284.0,26312.0,,,,,,,,62.22222222222222,14.285714285714285,92.3913043478261,98.9010989010989,13.186813186813183,56.2,GOOD,36
IOC,Indian Oil Corporation,21.31,25.44,,761485,32930.0,10909,8.0,4.324444998916591,1.4325955205946275,167594.0,163401.0,510310.0,510310.0,0.32019948658658465,71099.0,250.0,,,,,,,,80.0,61.53846153846154,4.3478260869565215,95.6043956043956,37.362637362637365,55.77,GOOD,37
DIVISLAB,Divis Laboratories Ltd,16.5,12.2,,8614,2558.0,1836,69.0,29.69584397492454,21.31413977246343,13664.0,8.0,15586.0,15586.0,0.0005132811497497754,1261.0,193.0,,,,,,,,30.555555555555557,50.54945054945055,76.08695652173914,21.978021978021978,93.4065934065934,54.52,GOOD,38
DABUR,Dabur India Ltd,22.3,19.2,,12447,2341.0,1760,10.0,18.807744838113603,14.139953402426286,10185.0,1752.0,16373.0,16373.0,0.10700543577841569,2013.0,-119.0,,,,,,,,65.55555555555556,62.637362637362635,53.2608695652174,30.76923076923077,57.142857142857146,53.87,GOOD,39
SBILIFE,SBI Life Insurance Company Ltd,13.2,12.0,,130073,1007.0,2411,24.0,0.7741806524028815,1.8535745312247738,15257.0,0.0,448497.0,448497.0,0.0,29122.0,-2327.0,,,,,,,,28.888888888888886,43.956043956043956,7.608695652173914,89.01098901098901,97.25274725274726,53.34,GOOD,40
TRENT,Trent Ltd,23.8,27.2,,15025,2354.0,1809,51.0,15.667221297836939,12.039933444259567,4644.0,1842.0,8274.0,8274.0,0.2226250906453952,1349.0,211.0,,,,,,,,84.44444444444444,69.23076923076923,41.30434782608695,23.076923076923077,46.15384615384615,52.84,GOOD,41
BOSCHLTD,Bosch Ltd,20.6,16.0,,17150,2216.0,2084,707.0,12.921282798833818,12.151603498542274,12708.0,31.0,18521.0,18521.0,0.0016737757140543167,1253.0,84.0,,,,,,,,48.888888888888886,58.24175824175825,43.47826086956522,20.87912087912088,90.1098901098901,52.32,GOOD,42
HAVELLS,Havells India Ltd,24.4,18.0,,20677,2008.0,1400,22.0,9.711273395560283,6.770808144314939,7731.0,332.0,12843.0,12843.0,0.025850657945962783,1953.0,-199.0,,,,,,,,58.88888888888889,70.32967032967034,23.91304347826087,29.67032967032967,75.82417582417582,51.73,GOOD,43
